entity_type,id,name,parent_tm,status,changed_fields
TM,308,TOYOTASA,,unchanged,
TM,309,GÜLLÜBAĞ HES,,unchanged,
TM,311,SİVEREK,,unchanged,
TM,312,GÜZELYALI GİS,,unchanged,
TM,313,KARGILIK HES,,unchanged,
TM,314,ERENLER HES,,unchanged,
TM,315,BANDIRMA RES,,unchanged,
TM,319,İSAKÖY,,unchanged,
TM,320,ETİ GÜMÜŞ,,unchanged,
TM,321,ISPARTA,,unchanged,
TM,323,HABAŞ DGKÇS,,unchanged,
TM,324,SİLOPİ TES,,unchanged,
TM,325,GÖKSUN,,unchanged,
TM,326,EREGE METAL,,unchanged,
TM,327,KARACAÖREN 1 HES,,unchanged,
TM,328,İSDEMİR TES,,unchanged,
TM,330,POSOF HAVZA,,unchanged,
TM,331,HATAY GİS,,unchanged,
TM,332,TEKİRDAĞ DGKÇ (A),,unchanged,
TM,333,HİLAL,,unchanged,
TM,334,KARACAÖREN 2 HES,,unchanged,
TM,335,ILICA GİS,,unchanged,
TM,336,ÇAYKARA HAVZA,,unchanged,
TM,337,VANİKÖY,,unchanged,
TM,338,KOÇÇELİK,,unchanged,
TM,339,AKSU YEDİGÖL HES,,unchanged,
TM,341,HASAN ÇELEBİ,,unchanged,
TM,342,TUNCELİ,,unchanged,
TM,343,KILAVUZLU,,unchanged,
TM,344,KEÇİBORLU,,unchanged,
TM,345,KAHRAMANMARAŞ,,unchanged,
TM,346,KOVADA 2 HES,,unchanged,
TM,347,MALATYA,,unchanged,
TM,349,KOVADA 1 HES,,unchanged,
TM,350,MALORSA,,unchanged,
TM,351,KARŞIYAKA GİS,,unchanged,
TM,352,KARABAĞLAR,,unchanged,
TM,353,MENZELET HES,,unchanged,
TM,354,KEMALPAŞA,,unchanged,
TM,355,PETKİM DGKÇS,,unchanged,
TM,356,PİYALE GİS,,unchanged,
TM,357,NARLI,,removed-from-source,
TM,358,TAHTALI,,unchanged,
TM,359,ATATÜRK HES,,unchanged,
TM,360,ÜNİVERSİTE,,unchanged,
TM,361,ULUCAK,,unchanged,
TM,362,URLA1,,unchanged,
TM,363,VİKİNG,,unchanged,
TM,366,MARE RES,,unchanged,
TM,367,ŞEMİKLER GİS,,unchanged,
TM,368,KULEÖNÜ,,unchanged,
TM,369,MERCAN HES,,unchanged,
TM,370,DİLİSKELESİ GİS,,unchanged,
TM,372,HAMİTABAT DGKÇ,,unchanged,
TM,373,AKSA YALOVA,,unchanged,
TM,374,YUNTDAĞI RES,,unchanged,
TM,376,ŞARKİKARAAĞAÇ,,unchanged,
TM,377,SEBENOBA RES,,unchanged,
TM,380,METRİSTEPE RES,,unchanged,
TM,381,PANCAR OSB,,unchanged,
TM,382,GÖLTAŞ ÇİMENTO,,unchanged,
TM,383,MAZI RES,,unchanged,
TM,384,GÖYNÜK,,unchanged,
TM,385,BEYKOZ,,unchanged,
TM,386,OSMANİYE OSB,,unchanged,
TM,387,ALSANCAK GİS,,unchanged,
TM,388,ATAER DGKÇS,,unchanged,
TM,390,KORKUTELİ,,unchanged,
